No,Millis,Set Point,Proccess Variable,Manipulated Variable,Masukan Motor (%),Masukan Kompensator (%),Tachometer (%),Potensiometer (%)
43,503166,55,66.47,38.12,56.68,38.12,66.47,37.93
44,503406,55,42.83,64.97,75.48,64.97,42.83,35.68
45,503646,55,67.72,36.85,55.79,36.85,67.72,55.03
46,503886,55,43.01,63.90,74.73,63.90,43.01,69.99
47,504126,55,66.47,38.02,56.61,38.02,66.47,94.04
48,504366,55,43.72,63.32,74.32,63.32,43.72,71.85
49,504606,55,65.58,39.38,57.57,39.38,65.58,26.88
50,504846,55,43.72,64.31,75.02,64.31,43.72,21.02
51,505086,55,67.36,37.21,56.05,37.21,67.36,45.26
52,505326,55,43.37,63.44,74.41,63.44,43.37,52.39
53,505566,55,66.12,38.35,56.84,38.35,66.12,67.16
54,505806,55,43.19,64.46,75.12,64.46,43.19,79.18
55,506046,55,66.47,38.74,57.12,38.74,66.47,14.66
56,506286,55,44.25,63.07,74.15,63.07,44.25,5.96
57,506526,55,66.12,38.36,56.85,38.36,66.12,29.62
58,506766,55,42.30,66.02,76.22,66.02,42.30,25.22
59,507006,55,69.14,35.15,54.61,35.15,69.14,51.52
60,507246,55,43.72,61.47,73.03,61.47,43.72,57.38
61,507486,55,63.81,40.59,58.41,40.59,63.81,64.91
62,507726,55,44.61,63.27,74.29,63.27,44.61,84.65
63,507966,55,66.29,38.52,56.96,38.52,66.29,17.60
64,508206,55,42.83,65.27,75.69,65.27,42.83,12.90
65,508446,55,68.25,36.19,55.33,36.19,68.25,39.10
66,508686,55,42.83,63.76,74.63,63.76,42.83,41.45
67,508926,55,66.47,37.78,56.45,37.78,66.47,69.50
68,509166,55,43.01,64.38,75.07,64.38,43.01,48.58
69,509406,55,67.00,37.61,56.32,37.61,67.00,86.12
70,509646,55,43.37,63.74,74.62,63.74,43.37,68.52
71,509886,55,66.65,37.71,56.40,37.71,66.65,20.92
