No,Millis,Set Point,Proccess Variable,Manipulated Variable,Masukan Motor (%),Masukan Kompensator (%),Tachometer (%),Potensiometer (%)
71,225517,55,10.13,11.22,37.85,11.22,10.13,41.84
72,225757,55,9.95,11.26,37.88,11.26,9.95,31.57
73,225997,55,10.31,11.17,37.82,11.17,10.31,22.48
74,226237,55,10.49,11.13,37.79,11.13,10.49,13.10
75,226477,55,10.13,11.22,37.85,11.22,10.13,3.71
76,226717,55,10.84,11.04,37.73,11.04,10.84,98.92
77,226957,55,10.49,11.13,37.79,11.13,10.49,85.83
78,227197,55,10.66,11.08,37.76,11.08,10.66,74.39
79,227437,55,11.20,10.95,37.67,10.95,11.20,43.70
80,227677,55,10.49,11.13,37.79,11.13,10.49,53.76
81,227917,55,10.49,11.13,37.79,11.13,10.49,45.45
82,228157,55,10.66,11.08,37.76,11.08,10.66,26.59
83,228397,55,9.95,11.26,37.88,11.26,9.95,19.16
84,228637,55,10.13,11.22,37.85,11.22,10.13,18.87
85,228877,55,10.84,11.04,37.73,11.04,10.84,9.78
86,229117,55,10.66,11.08,37.76,11.08,10.66,2.44
87,229357,55,10.31,11.17,37.82,11.17,10.31,95.01
88,229597,55,11.02,11.00,37.70,11.00,11.02,57.18
89,229837,55,11.20,10.95,37.67,10.95,11.20,76.74
90,230077,55,10.66,11.08,37.76,11.08,10.66,42.52
91,230317,55,10.84,11.04,37.73,11.04,10.84,36.85
92,230557,55,10.13,11.22,37.85,11.22,10.13,46.24
93,230797,55,9.95,11.26,37.88,11.26,9.95,23.46
94,231037,55,10.31,11.17,37.82,11.17,10.31,26.49
95,231277,55,10.31,11.17,37.82,11.17,10.31,12.71
96,231517,55,10.49,11.13,37.79,11.13,10.49,7.72
97,231757,55,10.66,11.08,37.76,11.08,10.66,1.47
98,231997,55,10.49,11.13,37.79,11.13,10.49,61.58
99,232237,55,10.66,11.08,37.76,11.08,10.66,83.28
100,232477,55,11.20,10.95,37.67,10.95,11.20,73.02
101,232717,55,10.49,11.13,37.79,11.13,10.49,60.12
102,232957,55,10.31,11.17,37.82,11.17,10.31,34.31
103,233197,55,10.66,11.08,37.76,11.08,10.66,40.66
104,233437,55,9.78,11.31,37.91,11.31,9.78,21.11
105,233677,55,10.31,11.17,37.82,11.17,10.31,21.21
106,233917,55,10.66,11.08,37.76,11.08,10.66,12.02
107,234157,55,10.49,11.13,37.79,11.13,10.49,3.42
108,234397,55,10.31,11.17,37.82,11.17,10.31,99.61
109,234637,55,11.02,11.00,37.70,11.00,11.02,87.78
110,234877,55,10.66,11.08,37.76,11.08,10.66,72.34
111,235117,55,10.84,11.04,37.73,11.04,10.84,62.07
112,235357,55,10.84,11.04,37.73,11.04,10.84,58.16
113,235597,55,10.49,11.13,37.79,11.13,10.49,32.45
114,235837,55,10.13,11.22,37.85,11.22,10.13,26.30
115,236077,55,10.66,11.08,37.76,11.08,10.66,20.23
116,236317,55,9.95,11.26,37.88,11.26,9.95,19.55
117,236557,55,10.49,11.13,37.79,11.13,10.49,8.99
118,236797,55,10.84,11.04,37.73,11.04,10.84,2.93
119,237037,55,10.49,11.13,37.79,11.13,10.49,96.09
120,237277,55,10.66,11.08,37.76,11.08,10.66,54.74
121,237517,55,11.37,10.91,37.63,10.91,11.37,68.62
122,237757,55,11.02,11.00,37.70,11.00,11.02,66.57
123,237997,55,10.31,11.17,37.82,11.17,10.31,55.91
124,238237,55,10.84,11.04,37.73,11.04,10.84,46.14
125,238477,55,10.13,11.22,37.85,11.22,10.13,36.17
126,238717,55,9.95,11.26,37.88,11.26,9.95,25.32
127,238957,55,10.49,11.13,37.79,11.13,10.49,17.79
128,239197,55,10.49,11.13,37.79,11.13,10.49,8.50
129,239437,55,10.49,11.13,37.79,11.13,10.49,0.00
130,239677,55,10.84,11.04,37.73,11.04,10.84,93.94
131,239917,55,11.02,11.00,37.70,11.00,11.02,84.07
132,240157,55,10.84,11.04,37.73,11.04,10.84,48.29
133,240397,55,11.20,10.95,37.67,10.95,11.20,42.82
134,240637,55,11.02,11.00,37.70,11.00,11.02,53.18
135,240877,55,10.13,11.22,37.85,11.22,10.13,45.45
136,241117,55,10.66,11.08,37.76,11.08,10.66,36.17
137,241357,55,10.13,11.22,37.85,11.22,10.13,27.08
138,241597,55,10.31,11.17,37.82,11.17,10.31,13.78
139,241837,55,10.66,11.08,37.76,11.08,10.66,8.60
140,242077,55,11.02,11.00,37.70,11.00,11.02,1.17
141,242317,55,10.31,11.17,37.82,11.17,10.31,95.60
142,242557,55,10.84,11.04,37.73,11.04,10.84,55.13
143,242797,55,11.20,10.95,37.67,10.95,11.20,69.11
144,243037,55,11.20,10.95,37.67,10.95,11.20,44.97
145,243277,55,10.84,11.04,37.73,11.04,10.84,59.34
146,243517,55,10.84,11.04,37.73,11.04,10.84,33.63
147,243757,55,10.84,11.04,37.73,11.04,10.84,41.06
148,243997,55,10.13,11.22,37.85,11.22,10.13,31.87
149,244237,55,10.13,11.22,37.85,11.22,10.13,22.87
150,244477,55,10.84,11.04,37.73,11.04,10.84,14.86
151,244717,55,10.84,11.04,37.73,11.04,10.84,6.06
152,244957,55,10.49,11.13,37.79,11.13,10.49,53.67
153,245197,55,10.66,11.08,37.76,11.08,10.66,91.79
154,245437,55,11.37,10.91,37.63,10.91,11.37,83.58
155,245677,55,11.02,11.00,37.70,11.00,11.02,74.78
156,245917,55,10.66,11.08,37.76,11.08,10.66,65.59
157,246157,55,11.20,10.95,37.67,10.95,11.20,37.24
158,246397,55,10.84,11.04,37.73,11.04,10.84,47.12
159,246637,55,10.31,11.17,37.82,11.17,10.31,38.51
160,246877,55,10.31,11.17,37.82,11.17,10.31,28.05
161,247117,55,10.66,11.08,37.76,11.08,10.66,20.63
162,247357,55,10.66,11.08,37.76,11.08,10.66,12.41
163,247597,55,10.66,11.08,37.76,11.08,10.66,4.20
164,247837,55,10.84,11.04,37.73,11.04,10.84,94.33
165,248077,55,11.02,11.00,37.70,11.00,11.02,89.64
166,248317,55,10.84,11.04,37.73,11.04,10.84,73.61
167,248557,55,11.20,10.95,37.67,10.95,11.20,69.21
168,248797,55,11.37,10.91,37.63,10.91,11.37,61.19
169,249037,55,10.66,11.08,37.76,11.08,10.66,35.19
170,249277,55,10.66,11.08,37.76,11.08,10.66,45.36
171,249517,55,10.84,11.04,37.73,11.04,10.84,37.15
172,249757,55,10.49,11.13,37.79,11.13,10.49,27.76
173,249997,55,10.13,11.22,37.85,11.22,10.13,13.98
174,250237,55,10.84,11.04,37.73,11.04,10.84,9.29
175,250477,55,11.02,11.00,37.70,11.00,11.02,3.42
176,250717,55,10.66,11.08,37.76,11.08,10.66,96.97
177,250957,55,10.66,11.08,37.76,11.08,10.66,86.41
178,251197,55,11.20,10.95,37.67,10.95,11.20,78.89
179,251437,55,11.37,10.91,37.63,10.91,11.37,63.73
180,251677,55,10.66,11.08,37.76,11.08,10.66,60.22
181,251917,55,11.02,11.00,37.70,11.00,11.02,50.83
182,252157,55,10.84,11.04,37.73,11.04,10.84,41.94
183,252397,55,10.49,11.13,37.79,11.13,10.49,32.94
184,252637,55,10.13,11.22,37.85,11.22,10.13,24.34
185,252877,55,10.66,11.08,37.76,11.08,10.66,16.32
186,253117,55,11.20,10.95,37.67,10.95,11.20,8.02
187,253357,55,10.84,11.04,37.73,11.04,10.84,0.10
188,253597,55,10.66,11.08,37.76,11.08,10.66,86.71
189,253837,55,11.20,10.95,37.67,10.95,11.20,55.43
190,254077,55,11.37,10.91,37.63,10.91,11.37,50.05
191,254317,55,11.02,11.00,37.70,11.00,11.02,43.60
192,254557,55,11.37,10.91,37.63,10.91,11.37,57.09
193,254797,55,11.20,10.95,37.67,10.95,11.20,50.73
194,255037,55,10.49,11.13,37.79,11.13,10.49,29.13
195,255277,55,10.31,11.17,37.82,11.17,10.31,22.97
196,255517,55,10.66,11.08,37.76,11.08,10.66,17.99
197,255757,55,10.66,11.08,37.76,11.08,10.66,17.30
198,255997,55,10.66,11.08,37.76,11.08,10.66,8.11
199,256237,55,10.66,11.08,37.76,11.08,10.66,0.98
200,256477,55,11.02,11.00,37.70,11.00,11.02,89.44
201,256717,55,11.20,10.95,37.67,10.95,11.20,87.59
202,256957,55,11.37,10.91,37.63,10.91,11.37,79.86
